date,sales,dayofweek,month,lag_1,lag_7,lag_28,rolling_mean_7,rolling_std_7
2011-02-26,29908,5,2,22529.0,31689.0,32631.0,24143.14285714286,4576.628250454383
2011-02-27,28707,6,2,29908.0,29283.0,31749.0,23888.714285714286,4113.263858717134
2011-02-28,21240,0,2,28707.0,23966.0,23783.0,23806.428571428572,3991.3197423551887
2011-03-01,22872,1,3,21240.0,20501.0,25412.0,23417.0,4104.536311611011
2011-03-02,22046,2,3,22872.0,20757.0,19146.0,23755.714285714286,3917.358536662416
2011-03-03,23475,3,3,22046.0,20277.0,29211.0,23939.85714285714,3780.8214023133232
2011-03-04,23572,4,3,23475.0,22529.0,28010.0,24396.714285714286,3442.533065166103
2011-03-05,31202,5,3,23572.0,29908.0,37932.0,24545.714285714286,3370.029510963061
2011-03-06,34876,6,3,31202.0,28707.0,32736.0,24730.571428571428,3729.508897837307
2011-03-07,24562,0,3,34876.0,21240.0,25572.0,25611.85714285714,5246.2129969649395
2011-03-08,22752,1,3,24562.0,22872.0,23071.0,26086.428571428572,4925.258770093304
2011-03-09,22560,2,3,22752.0,22046.0,23658.0,26069.285714285714,4938.502631172255
2011-03-10,22626,3,3,22560.0,23475.0,23756.0,26142.714285714286,4872.086572653305
2011-03-11,25572,4,3,22626.0,23572.0,26445.0,26021.428571428572,4959.350994405854
2011-03-12,32225,5,3,25572.0,31202.0,34833.0,26307.14285714286,4851.148160610076
2011-03-13,31417,6,3,32225.0,34876.0,36380.0,26453.285714285714,5035.105649811328
2011-03-14,24935,0,3,31417.0,24562.0,21804.0,25959.14285714286,4165.349862399378
2011-03-15,24021,1,3,24935.0,22752.0,24070.0,26012.428571428572,4146.842608424831
2011-03-16,22765,2,3,24021.0,22560.0,21443.0,26193.714285714286,4005.894894372785
2011-03-17,21779,3,3,22765.0,22626.0,20318.0,26223.0,3975.5369029436397
2011-03-18,23855,4,3,21779.0,25572.0,23721.0,26102.0,4113.749344170924
2011-03-19,30599,5,3,23855.0,32225.0,31689.0,25856.714285714286,4200.883943262649
2011-03-20,29643,6,3,30599.0,31417.0,29283.0,25624.428571428572,3817.5268982742814
2011-03-21,23101,0,3,29643.0,24935.0,23966.0,25371.0,3405.5474351906137
2011-03-22,20492,1,3,23101.0,24021.0,20501.0,25109.0,3513.5171362420733
2011-03-23,19230,2,3,20492.0,22765.0,20757.0,24604.85714285714,3924.764130007115
2011-03-24,18854,3,3,19230.0,21779.0,20277.0,24099.85714285714,4399.649244677409
2011-03-25,23350,4,3,18854.0,23855.0,22529.0,23682.0,4779.328544192516
2011-03-26,29620,5,3,23350.0,30599.0,29908.0,23609.85714285714,4780.093284604793
2011-03-27,29866,6,3,29620.0,29643.0,28707.0,23470.0,4550.321050944283
2011-03-28,21449,0,3,29866.0,23101.0,21240.0,23501.85714285714,4601.237385333481
2011-03-29,19581,1,3,21449.0,20492.0,22872.0,23265.85714285714,4667.118612469279
2011-03-30,18928,2,3,19581.0,19230.0,22046.0,23135.714285714286,4768.950014216468
2011-03-31,21742,3,3,18928.0,18854.0,23475.0,23092.571428571428,4811.34997885704
2011-04-01,28309,4,4,21742.0,23350.0,23572.0,23505.14285714286,4501.14024178213
2011-04-02,33478,5,4,28309.0,29620.0,31202.0,24213.571428571428,4849.4236378200285
2011-04-03,33058,6,4,33478.0,29866.0,34876.0,24764.714285714286,5709.280681903975
2011-04-04,24852,0,4,33058.0,21449.0,24562.0,25220.714285714286,6283.248037819446
2011-04-05,23581,1,4,24852.0,19581.0,22752.0,25706.85714285714,6070.845806765629
2011-04-06,22656,2,4,23581.0,18928.0,22560.0,26278.285714285714,5565.345772854422
2011-04-07,22901,3,4,22656.0,21742.0,22626.0,26810.85714285714,4881.039316531246
2011-04-08,24754,4,4,22901.0,28309.0,25572.0,26976.428571428572,4696.612994387298
2011-04-09,31745,5,4,24754.0,33478.0,32225.0,26468.571428571428,4720.647055123654
2011-04-10,31536,6,4,31745.0,33058.0,31417.0,26221.0,4320.235718877695
2011-04-11,24829,0,4,31536.0,24852.0,24935.0,26003.571428571428,3940.396547605452
2011-04-12,23218,1,4,24829.0,23581.0,24021.0,26000.285714285714,3941.526257440796
2011-04-13,21611,2,4,23218.0,22656.0,22765.0,25948.428571428572,3980.8525408988667
2011-04-14,21964,3,4,21611.0,22901.0,21779.0,25799.14285714286,4141.26226443788
2011-04-15,25482,4,4,21964.0,24754.0,23855.0,25665.285714285714,4263.878973981546
2011-04-16,29234,5,4,25482.0,31745.0,30599.0,25769.285714285714,4246.791405060443
2011-04-17,29787,6,4,29234.0,31536.0,29643.0,25410.571428571428,3732.8669883054995
2011-04-18,22389,0,4,29787.0,24829.0,23101.0,25160.714285714286,3286.361397974248
2011-04-19,19474,1,4,22389.0,23218.0,20492.0,24812.14285714286,3452.6047861757693
2011-04-20,20188,2,4,19474.0,21611.0,19230.0,24277.285714285714,3989.0444016199244
2011-04-21,19768,3,4,20188.0,21964.0,18854.0,24074.0,4179.2892936479075
2011-04-22,24279,4,4,19768.0,25482.0,23350.0,23760.285714285714,4438.456440186002
2011-04-23,29575,5,4,24279.0,29234.0,29620.0,23588.428571428572,4383.632316437398
2011-04-24,24018,6,4,29575.0,29787.0,29866.0,23637.14285714286,4458.088956364281
2011-04-25,20004,0,4,24018.0,22389.0,21449.0,22813.0,3578.108718303571
2011-04-26,18113,1,4,20004.0,19474.0,19581.0,22472.285714285714,3735.3106392144414
2011-04-27,17929,2,4,18113.0,20188.0,18928.0,22277.85714285714,3946.819623805624
2011-04-28,18145,3,4,17929.0,19768.0,21742.0,21955.14285714286,4228.481895770297
