date,item_id,store_id,sales,prediction,rolling_mean_7,sell_price,price_ratio,lag_7,has_event,snap_CA,snap_TX,snap_WI,risk_ratio,risk
2015-01-01,FOODS_3_090,CA_1,37,36.308678494144075,33.18150830480554,2.83,0.73,43,0,1,0,1,0.97,moyen
2015-01-02,FOODS_3_090,CA_1,31,30.202417491714627,28.177774612895863,4.9,0.57,23,1,0,1,1,1.74,faible
2015-01-03,FOODS_3_090,CA_1,68,69.971165109398,28.977753321781435,2.95,0.6,22,1,1,1,1,1.26,faible
2015-01-04,FOODS_3_090,CA_1,18,14.10808996454553,35.590742861752126,8.58,0.76,43,0,1,1,1,1.17,moyen
2015-01-05,FOODS_3_090,CA_1,10,10.984306179345618,33.907732639963285,2.25,0.79,29,0,1,0,1,1.7,moyen
2015-01-06,FOODS_3_090,CA_1,36,36.429617358154076,15.92034174226713,4.02,0.75,35,0,0,1,0,1.04,faible
2015-01-07,FOODS_3_090,CA_1,38,42.43874229796678,35.15465864087009,2.13,1.04,35,0,0,0,1,1.34,faible
2015-01-08,FOODS_3_090,CA_1,52,46.380508327299815,35.60004316405744,3.84,1.34,45,0,0,1,0,1.71,moyen
2015-01-09,FOODS_3_090,CA_1,29,36.82321827907003,7.042039167282045,1.72,0.66,36,0,0,0,1,1.48,moyen
2015-01-10,FOODS_3_090,CA_1,34,28.85942114706231,16.651228295875534,9.51,1.4,29,0,1,1,1,1.77,moyen
2015-01-11,FOODS_3_090,CA_1,33,34.57256447931586,38.974897068398214,9.12,0.98,29,0,0,0,1,0.8,faible
2015-01-12,FOODS_3_090,CA_1,16,13.46678390184238,17.520394502300206,7.39,0.9,57,0,0,1,1,1.42,moyen
2015-01-13,FOODS_3_090,CA_1,33,32.62777042116917,12.649830277607668,3.92,0.56,27,0,1,1,1,0.84,faible
2015-01-14,FOODS_3_090,CA_1,51,56.32896854274652,8.00992686689031,6.2,1.39,42,0,1,0,0,1.67,faible
2015-01-15,FOODS_3_090,CA_1,51,57.961628767459516,20.954873451761845,8.6,0.98,28,0,0,0,1,1.19,faible
2015-01-16,FOODS_3_090,CA_1,43,46.027415654238375,22.237616057129493,9.49,1.1,25,0,1,0,0,1.21,faible
2015-01-17,FOODS_3_090,CA_1,42,35.84567841783022,29.819679476833034,6.0,0.86,41,0,1,0,0,1.86,faible
2015-01-18,FOODS_3_090,CA_1,44,38.67584423568497,28.869694397019085,4.94,1.83,29,0,0,1,1,1.88,moyen
2015-01-19,FOODS_3_090,CA_1,32,25.915725538203805,36.394779138566925,3.41,1.57,41,0,0,1,1,1.24,moyen
2015-01-20,FOODS_3_090,CA_1,15,20.524641092250747,33.07392237011432,6.91,0.88,58,0,1,0,0,1.87,moyen
2015-01-21,FOODS_3_090,CA_1,30,37.26767038578659,25.882745334096352,3.16,1.58,55,0,0,1,0,0.85,élevé
