date,sales,has_event,snap_CA,snap_TX,snap_WI,dayofweek,month,week,sin_dow,cos_dow,lag_1,lag_7,lag_28,rolling_mean_7,rolling_std_7
2011-04-23,29575,0,0,0,0,5,4,16,-0.9749279121818235,-0.2225209339563146,24279.0,29234.0,29620.0,23588.428571428572,4383.632316437396
2011-04-24,24018,1,0,0,0,6,4,16,-0.7818314824680299,0.6234898018587334,29575.0,29787.0,29866.0,23637.14285714286,4458.088956364279
2011-04-25,20004,0,0,0,0,0,4,17,0.0,1.0,24018.0,22389.0,21449.0,22813.0,3578.1087183035684
2011-04-26,18113,1,0,0,0,1,4,17,0.7818314824680297,0.6234898018587336,20004.0,19474.0,19581.0,22472.285714285714,3735.310639214438
2011-04-27,17929,0,0,0,0,2,4,17,0.9749279121818236,-0.22252093395631434,18113.0,20188.0,18928.0,22277.85714285714,3946.8196238056216
2011-04-28,18145,0,0,0,0,3,4,17,0.43388373911755823,-0.900968867902419,17929.0,19768.0,21742.0,21955.14285714286,4228.481895770295
2011-04-29,22735,0,0,0,0,4,4,17,-0.433883739117558,-0.9009688679024191,18145.0,24279.0,28309.0,21723.285714285714,4409.037034481405
2011-04-30,28101,0,0,0,0,5,4,17,-0.9749279121818235,-0.2225209339563146,22735.0,29575.0,33478.0,21502.714285714286,4297.072131668481
2011-05-01,29045,0,1,1,0,6,5,17,-0.7818314824680299,0.6234898018587334,28101.0,24018.0,33058.0,21292.14285714286,3848.2500104407386
2011-05-02,22837,0,1,0,1,0,5,18,0.0,1.0,29045.0,20004.0,24852.0,22010.285714285714,4794.450984012167
2011-05-03,24080,0,1,1,1,1,5,18,0.7818314824680297,0.6234898018587336,22837.0,18113.0,23581.0,22415.0,4715.794029994665
2011-05-04,20761,0,1,0,0,2,5,18,0.9749279121818236,-0.22252093395631434,24080.0,17929.0,22656.0,23267.428571428572,4332.259989779884
2011-05-05,21184,1,1,1,1,3,5,18,0.43388373911755823,-0.900968867902419,20761.0,18145.0,22901.0,23672.0,3856.7792694595983
2011-05-06,24486,0,1,1,1,4,5,18,-0.433883739117558,-0.9009688679024191,21184.0,22735.0,24754.0,24106.14285714286,3255.035403216139
2011-05-07,28412,0,1,1,0,5,5,18,-0.9749279121818235,-0.2225209339563146,24486.0,28101.0,31745.0,24356.285714285714,3198.900629606242
2011-05-08,23688,1,1,0,1,6,5,18,-0.7818314824680299,0.6234898018587334,28412.0,29045.0,31536.0,24400.714285714286,3261.1324063013058
2011-05-09,25024,0,1,1,1,0,5,19,0.0,1.0,23688.0,22837.0,24829.0,23635.428571428572,2538.005900777406
2011-05-10,22231,0,1,0,0,1,5,19,0.7818314824680297,0.6234898018587336,25024.0,24080.0,23218.0,23947.85714285714,2557.8703660513734
2011-05-11,22165,0,0,1,1,2,5,19,0.9749279121818236,-0.22252093395631434,22231.0,20761.0,21611.0,23683.714285714286,2636.2201927687843
2011-05-12,22413,0,0,1,1,3,5,19,0.43388373911755823,-0.900968867902419,22165.0,21184.0,21964.0,23884.285714285714,2421.4518175594335
2011-05-13,25648,0,0,1,0,4,5,19,-0.433883739117558,-0.9009688679024191,22413.0,24486.0,25482.0,24059.85714285714,2230.0199870981246
2011-05-14,28736,0,0,0,1,5,5,19,-0.9749279121818235,-0.2225209339563146,25648.0,28412.0,29234.0,24225.85714285714,2308.882949867847
2011-05-15,31320,0,0,1,1,6,5,19,-0.7818314824680299,0.6234898018587334,28736.0,23688.0,29787.0,24272.14285714286,2407.912057403769
2011-05-16,22213,0,0,0,0,0,5,20,0.0,1.0,31320.0,25024.0,22389.0,25362.428571428572,3554.2990334308633
2011-05-17,19613,0,0,0,0,1,5,20,0.7818314824680297,0.6234898018587336,22213.0,22231.0,19474.0,24960.85714285714,3752.194887821052
2011-05-18,18770,0,0,0,0,2,5,20,0.9749279121818236,-0.22252093395631434,19613.0,22165.0,20188.0,24586.85714285714,4176.1649643571045
2011-05-19,18684,0,0,0,0,3,5,20,0.43388373911755823,-0.900968867902419,18770.0,22413.0,19768.0,24101.85714285714,4672.00854125116
2011-05-20,21649,0,0,0,0,4,5,20,-0.433883739117558,-0.9009688679024191,18684.0,25648.0,24279.0,23569.14285714286,5090.5210744602355
2011-05-21,27112,0,0,0,0,5,5,20,-0.9749279121818235,-0.2225209339563146,21649.0,28736.0,29575.0,22997.85714285714,5042.505310807695
2011-05-22,26246,0,0,0,0,6,5,20,-0.7818314824680299,0.6234898018587334,27112.0,31320.0,24018.0,22765.85714285714,4764.176718964549
2011-05-23,20954,0,0,0,0,0,5,21,0.0,1.0,26246.0,22213.0,20004.0,22041.0,3450.709782059341
2011-05-24,19203,0,0,0,0,1,5,21,0.7818314824680297,0.6234898018587336,20954.0,19613.0,18113.0,21861.14285714286,3472.989414926355
2011-05-25,19058,0,0,0,0,2,5,21,0.9749279121818236,-0.22252093395631434,19203.0,18770.0,17929.0,21802.571428571428,3520.357361459342
2011-05-26,20480,0,0,0,0,3,5,21,0.43388373911755823,-0.900968867902419,19058.0,18684.0,18145.0,21843.714285714286,3480.465232996196
2011-05-27,22481,0,0,0,0,4,5,21,-0.433883739117558,-0.9009688679024191,20480.0,21649.0,22735.0,22100.285714285714,3268.4591025071622
2011-05-28,25527,0,0,0,0,5,5,21,-0.9749279121818235,-0.2225209339563146,22481.0,27112.0,28101.0,22219.14285714286,3264.438309447813
2011-05-29,23449,0,0,0,0,6,5,21,-0.7818314824680299,0.6234898018587334,25527.0,26246.0,29045.0,21992.714285714286,2903.512913368091
2011-05-30,22538,1,0,0,0,0,5,22,0.0,1.0,23449.0,20954.0,22837.0,21593.14285714286,2362.7332638684593
